incident_id,disaster_type,incident_type,people_affected,people_trapped,injured_people,missing_people,children_affected,elderly_affected,water_level_m,flooded_area_percent,road_status,house_damage,evacuation_route_available,power_available,communication_available,medical_required,medical_severity,ambulance_required,latitude,longitude,nearest_hospital_km,nearest_shelter_km,nearest_rescue_team_km,population_density,priority
UKD-001783,Earthquake,Missing Person,77,31,3,9,8,7,0.1,2.3,Partially Blocked,Moderate,0,1,1,1,Low,1,29.839404,78.198049,8.34,1.75,1.03,788,P1
UKD-003918,Flood,Flooded Road,100,31,2,3,10,8,4.69,79.06,Blocked,Moderate,0,1,0,1,Moderate,1,30.282697,78.132137,6.78,2.61,2.87,706,P2
UKD-000222,Landslide,Trapped People,146,80,3,4,11,6,0.75,14.99,Partially Blocked,Moderate,0,0,0,1,Moderate,0,30.32917,78.136954,0.9,4.68,4.77,1106,P1
UKD-002136,Earthquake,Evacuation Request,161,37,1,0,14,6,0.09,2.28,Blocked,Minor,1,1,1,1,Low,0,30.315147,78.893576,10.09,13.71,10.48,164,P2
UKD-005225,Landslide,Missing Person,16,3,3,3,3,0,0.7,11.63,Partially Blocked,Severe,1,0,0,1,Low,0,29.857631,79.739887,9.84,8.71,5.72,227,P3
UKD-001169,Flood,Injured Person,55,37,7,2,8,1,4.36,81.31,Blocked,Minor,0,0,1,1,Critical,1,29.920342,79.858614,5.21,5.31,9.48,76,P1
UKD-000880,Cloudburst,Evacuation Request,192,68,2,6,17,5,3.58,49.45,Blocked,Minor,0,0,0,1,Moderate,1,30.584502,78.30753,16.87,10.35,14.3,158,P1
UKD-000157,Landslide,Damaged House,78,53,2,4,10,6,0.71,12.84,Blocked,Minor,0,0,1,1,Low,1,30.370915,78.082002,2.66,8.58,1.57,5845,P1
UKD-001658,Landslide,Injured Person,103,66,4,0,17,13,0.69,19.35,Blocked,None,0,0,1,1,Critical,1,29.424326,79.366327,7.84,6.72,6.97,563,P1
UKD-000324,Flood,Damaged House,177,65,4,3,8,7,4.1,97.73,Blocked,Severe,0,1,1,1,Critical,1,30.378531,78.026846,6.3,1.81,4.23,5168,P1
UKD-005303,Flood,Evacuation Request,19,5,1,1,6,2,1.34,24.45,Open,Minor,1,1,1,1,Low,0,30.317736,77.985562,4.22,1.44,13.47,2143,P3
UKD-002612,Landslide,Missing Person,196,31,6,5,9,10,0.63,17.75,Partially Blocked,Severe,1,1,1,1,Critical,1,30.812247,78.432569,3.75,6.12,9.64,216,P2
UKD-000812,Landslide,Evacuation Request,121,60,0,2,19,6,0.72,13.97,Blocked,Minor,0,1,1,0,None,0,30.300111,77.949744,0.82,2.41,4.71,1748,P1
UKD-000394,Flood,Evacuation Request,168,37,3,3,11,3,3.55,70.42,Open,Minor,0,0,0,1,Moderate,1,29.771132,79.681954,16.43,3.38,12.16,591,P1
UKD-003594,Flood,Trapped People,83,72,2,3,4,4,3.84,98.18,Blocked,None,0,0,0,1,Moderate,1,29.911858,78.231074,10.06,11.86,11.71,3063,P2
UKD-002639,Flood,Evacuation Request,15,4,1,0,7,1,2.63,54.71,Blocked,Minor,1,0,0,0,None,0,30.308128,78.084161,8.65,1.29,1.88,1125,P2
UKD-002188,Flood,Waterlogging,28,5,5,5,12,1,3.12,91.26,Blocked,Severe,0,0,0,1,Moderate,1,28.886823,79.478893,10.73,2.3,4.2,1741,P2
UKD-005352,Landslide,Trapped People,4,1,0,0,1,0,0.13,2.61,Blocked,Moderate,1,1,1,0,None,0,30.367324,78.9676,23.96,3.94,18.82,218,P3
UKD-000320,Landslide,Trapped People,118,71,5,0,8,0,0.63,13.18,Partially Blocked,Severe,0,0,1,1,Low,0,30.253764,78.006804,1.6,10.72,5.5,1076,P1
UKD-000168,Cloudburst,Damaged House,149,69,2,0,10,7,3.27,57.46,Blocked,Minor,0,0,1,0,None,0,30.271159,78.060059,12.29,1.16,3.4,1178,P1
UKD-000747,Cloudburst,Waterlogging,28,8,4,3,6,2,3.35,64.61,Blocked,Severe,1,1,0,1,Moderate,1,28.85854,79.481796,2.39,13.84,4.02,1487,P1
UKD-005471,Earthquake,Evacuation Request,15,3,2,1,2,2,0.08,1.74,Open,Minor,1,1,1,1,Low,0,29.334322,79.477674,3.63,4.3,4.97,300,P3
UKD-003708,Landslide,Injured Person,50,12,4,4,18,3,0.49,12.09,Partially Blocked,Moderate,1,0,0,1,Low,0,29.446489,79.448129,14.81,10.63,10.08,939,P2
UKD-002765,Cloudburst,Flooded Road,79,5,0,3,3,7,2.5,51.12,Open,None,1,1,0,1,Moderate,0,29.323602,79.392499,2.57,4.14,9.82,437,P2
UKD-005113,Landslide,Evacuation Request,82,48,3,1,3,7,0.59,13.25,Blocked,Minor,0,1,1,1,Moderate,1,29.407937,79.492583,5.81,2.68,7.2,541,P3
UKD-004007,Cloudburst,Injured Person,11,4,1,0,3,3,0.98,24.2,Partially Blocked,None,0,1,1,1,Moderate,0,30.729651,78.512956,30.0,5.19,8.36,86,P3
UKD-001872,Landslide,Injured Person,51,23,11,3,14,6,0.7,15.46,Partially Blocked,Severe,0,1,0,1,Low,0,29.000717,79.585792,11.07,1.37,4.41,3047,P1
UKD-005757,Flood,Waterlogging,40,2,3,2,6,6,2.91,72.55,Partially Blocked,Moderate,1,1,1,1,Moderate,1,30.242137,79.370045,10.92,10.97,10.92,112,P3
UKD-003194,Flood,Flooded Road,19,0,0,0,1,2,1.32,32.92,Open,Minor,1,1,1,0,None,0,29.928161,78.74202,1.17,4.57,2.86,547,P2
UKD-003755,Earthquake,Missing Person,51,1,0,8,11,2,0.06,1.02,Open,Moderate,1,1,1,0,None,0,29.948553,78.13522,3.76,0.37,6.7,414,P2
UKD-005626,Flood,Flooded Road,6,0,0,0,0,0,1.05,24.58,Open,Minor,1,0,1,0,None,0,30.12969,78.722476,8.09,5.89,7.79,418,P3
UKD-004895,Earthquake,Damaged House,79,41,1,3,6,3,0.12,3.86,Partially Blocked,None,0,1,1,1,Low,0,30.670268,78.478625,7.91,20.0,22.27,114,P3
UKD-004103,Flood,Flooded Road,39,4,1,2,8,3,2.97,56.17,Partially Blocked,Moderate,1,1,1,1,Low,0,29.994552,78.28578,0.84,6.51,7.47,2228,P3
UKD-001262,Flood,Trapped People,49,43,4,1,14,4,3.6,71.75,Blocked,Moderate,0,1,1,1,Critical,1,29.976729,78.266771,2.49,4.35,9.27,5520,P1
UKD-002339,Flood,Damaged House,24,9,0,1,6,3,2.15,37.64,Blocked,None,1,0,1,0,None,0,29.965613,78.082615,8.98,3.6,1.2,524,P2
UKD-000085,Flood,Waterlogging,99,29,5,6,6,5,3.81,78.89,Blocked,Severe,0,0,0,1,Critical,1,29.873705,78.149,8.36,2.56,7.62,2156,P1
UKD-003822,Landslide,Trapped People,14,7,0,0,3,2,0.51,10.51,Open,Moderate,1,1,1,1,Low,0,30.264089,78.060404,3.4,0.74,3.58,3679,P2
UKD-002654,Flood,Trapped People,70,38,4,2,7,6,2.97,77.01,Partially Blocked,Severe,1,0,1,1,Moderate,0,30.327655,78.874696,9.94,7.53,15.68,144,P2
UKD-005546,Flood,Waterlogging,9,3,0,1,2,1,1.28,29.12,Open,Moderate,0,0,1,0,None,0,29.282803,79.44822,0.71,4.33,8.19,259,P3
UKD-002747,Landslide,Injured Person,9,4,1,0,2,0,0.29,5.48,Partially Blocked,Minor,1,1,1,1,Moderate,1,29.517712,80.345184,5.27,5.67,4.53,432,P2
UKD-002859,Flood,Flooded Road,21,0,1,0,3,1,1.54,34.06,Open,None,1,0,1,1,Low,0,29.102311,79.456988,1.96,1.57,3.29,559,P2
UKD-000997,Flood,Damaged House,92,17,2,1,4,10,2.54,63.79,Open,Severe,1,0,1,1,Critical,1,30.129752,78.699408,4.38,4.19,9.54,810,P1
UKD-000229,Landslide,Damaged House,18,12,0,2,1,4,0.53,13.08,Partially Blocked,Minor,0,0,0,1,Low,0,30.271149,78.87758,18.22,5.86,7.39,867,P1
UKD-003265,Landslide,Infrastructure Damage,31,8,1,1,5,5,0.32,6.46,Blocked,None,1,1,0,1,Low,0,29.420813,79.383232,7.79,13.57,14.35,1298,P2
UKD-004829,Cloudburst,Waterlogging,30,4,1,0,8,6,1.46,40.13,Partially Blocked,None,1,0,0,0,None,0,29.379005,79.46329,13.24,5.1,4.75,900,P3
UKD-003943,Flood,Waterlogging,18,2,0,0,2,1,1.34,29.5,Partially Blocked,None,1,1,1,0,None,0,30.225694,78.00681,3.37,2.79,8.93,3346,P2
UKD-005460,Flood,Flooded Road,8,0,0,0,2,1,1.75,43.64,Partially Blocked,Moderate,1,0,0,0,None,0,30.383132,78.198581,8.35,13.29,4.26,1603,P3
UKD-003833,Flood,Flooded Road,21,0,1,1,3,4,1.37,48.2,Open,None,1,1,1,1,Moderate,1,29.017224,79.539954,5.59,0.67,4.01,2417,P2
UKD-001653,Flood,Infrastructure Damage,87,52,5,2,10,8,3.64,65.52,Blocked,Minor,0,0,0,1,Low,1,30.061574,78.799142,17.03,6.89,3.82,310,P1
UKD-000080,Earthquake,Injured Person,64,27,8,0,12,6,0.1,2.76,Blocked,Severe,1,1,0,1,Moderate,0,30.449158,78.358378,13.72,5.61,19.63,157,P1
UKD-000965,Flood,Waterlogging,42,17,4,1,6,10,4.87,92.41,Blocked,Moderate,0,1,0,1,Moderate,0,30.127519,78.200462,1.68,5.66,2.54,1145,P1
UKD-000927,Flood,Evacuation Request,108,57,3,2,9,9,3.05,55.66,Blocked,Moderate,0,1,1,1,Critical,1,30.038833,78.106,7.06,1.58,4.89,2091,P1
UKD-000795,Landslide,Damaged House,159,72,4,3,15,3,0.69,14.53,Blocked,Severe,0,1,0,1,Critical,1,30.228522,78.032307,8.68,5.41,3.93,1107,P1
UKD-003380,Cloudburst,Flooded Road,17,4,2,1,3,2,1.9,44.63,Blocked,Minor,0,1,0,0,None,0,30.225856,78.023077,0.81,3.76,3.86,1259,P2
UKD-003165,Landslide,Evacuation Request,64,13,3,1,5,5,0.76,13.44,Partially Blocked,Severe,1,0,1,1,Critical,1,30.311787,78.076627,5.77,1.45,5.73,2420,P2
UKD-004658,Flood,Flooded Road,50,3,1,1,7,7,2.56,51.58,Partially Blocked,Minor,1,1,1,1,Low,1,30.390812,77.919013,4.76,4.43,0.73,2681,P3
UKD-003312,Cloudburst,Trapped People,39,14,2,1,7,5,1.78,31.38,Partially Blocked,None,1,1,1,1,Moderate,1,29.585416,80.167438,13.03,5.91,15.43,246,P2
UKD-003935,Flood,Flooded Road,24,0,1,1,4,2,2.16,44.74,Open,None,1,0,1,1,Low,1,29.952181,78.171196,7.4,2.21,3.13,1779,P2
UKD-001075,Landslide,Trapped People,82,42,4,0,10,1,0.82,13.08,Partially Blocked,Severe,1,0,1,1,Critical,1,29.380154,79.516172,6.6,1.58,4.58,553,P1
UKD-004841,Cloudburst,Flooded Road,13,0,0,0,2,2,0.78,18.45,Partially Blocked,None,1,1,1,0,None,0,28.911354,79.546817,0.97,2.84,2.52,4593,P3
UKD-004184,Flood,Evacuation Request,39,2,1,1,7,4,1.4,24.96,Open,Minor,1,1,1,0,None,0,29.877701,78.152959,10.66,3.83,5.2,755,P3
UKD-002025,Earthquake,Trapped People,38,15,2,1,4,6,0.13,1.85,Open,Moderate,1,0,1,0,None,0,30.019063,78.767611,1.15,7.37,6.24,275,P2
UKD-005678,Flood,Evacuation Request,88,54,2,2,9,7,3.53,61.24,Blocked,None,0,1,1,1,Low,1,30.482087,78.607667,10.9,8.9,10.78,298,P3
UKD-004635,Earthquake,Evacuation Request,8,1,0,0,1,0,0.03,0.54,Open,Minor,1,1,1,0,None,0,30.057866,78.196201,7.41,1.92,1.08,564,P3
UKD-001746,Flood,Damaged House,18,11,4,2,5,3,3.09,100.0,Blocked,Severe,0,0,1,1,Critical,1,30.043651,78.153358,3.86,3.16,5.97,3613,P1
UKD-003144,Landslide,Evacuation Request,6,1,1,0,1,0,0.31,6.13,Partially Blocked,Minor,1,0,1,1,Low,0,30.102294,78.787411,4.19,2.53,3.02,1157,P2
UKD-003264,Cloudburst,Injured Person,20,7,7,0,3,1,1.28,28.53,Partially Blocked,Minor,0,1,1,1,Moderate,0,29.381902,79.463109,1.99,7.99,6.26,687,P2
UKD-003122,Landslide,Damaged House,59,29,5,0,13,10,0.48,9.47,Blocked,Severe,1,1,1,1,Critical,1,29.349739,80.0378,2.55,18.15,30.0,116,P2
UKD-001452,Landslide,Trapped People,110,62,2,1,8,8,0.94,13.89,Blocked,Moderate,1,1,1,1,Critical,1,29.587318,79.681645,8.15,2.77,4.29,346,P1
UKD-000440,Flood,Flooded Road,59,20,4,3,19,3,4.79,79.31,Blocked,Severe,0,0,1,1,Critical,1,29.670751,79.688085,24.49,7.34,4.12,962,P1
UKD-003317,Flood,Evacuation Request,31,3,0,2,10,3,2.48,53.47,Open,Minor,1,0,1,0,None,0,30.358017,78.006279,0.64,6.69,2.95,4813,P2
UKD-004544,Flood,Infrastructure Damage,11,0,0,0,2,1,1.06,13.66,Partially Blocked,Minor,1,1,1,0,None,0,29.444963,80.066562,11.22,9.79,11.63,67,P3
UKD-002982,Flood,Evacuation Request,55,14,2,2,7,3,2.59,52.53,Partially Blocked,Moderate,1,0,0,1,Low,0,28.994737,79.482663,6.44,2.18,6.92,4640,P2
UKD-002081,Earthquake,Flooded Road,33,2,1,1,13,0,0.72,6.68,Open,None,1,1,0,1,Low,0,30.116554,78.06372,6.67,0.72,1.34,833,P2
UKD-004021,Flood,Trapped People,5,1,0,0,2,0,1.2,20.56,Open,None,1,1,1,0,None,0,30.369266,78.119847,11.55,2.8,4.23,5459,P3
UKD-001455,Flood,Flooded Road,96,32,2,3,3,3,4.92,71.45,Blocked,Moderate,0,0,1,1,Critical,1,30.340638,78.394979,6.52,4.95,13.0,209,P1
UKD-000255,Flood,Evacuation Request,144,50,4,2,15,3,3.6,64.38,Partially Blocked,Severe,0,0,1,1,Critical,1,30.341773,78.025409,6.69,4.04,4.4,702,P1
UKD-000466,Flood,Damaged House,71,41,0,1,7,6,3.05,59.19,Blocked,Moderate,0,0,1,1,Low,0,29.309154,80.055625,7.74,11.12,10.86,1018,P1
UKD-002118,Flood,Damaged House,17,4,0,0,2,0,1.44,29.36,Open,Minor,0,1,1,0,None,0,30.271895,78.605578,8.76,14.66,8.56,100,P2
UKD-000507,Flood,Waterlogging,57,6,1,5,7,3,4.71,71.01,Partially Blocked,Moderate,1,1,0,1,Critical,1,30.374969,77.962404,5.86,4.04,3.75,804,P1
UKD-004272,Flood,Flooded Road,40,11,6,0,7,5,3.72,78.58,Partially Blocked,Severe,1,1,1,1,Moderate,1,30.266602,78.052428,1.99,1.09,3.65,1215,P3
UKD-004289,Flood,Infrastructure Damage,8,1,0,0,2,3,0.67,20.74,Partially Blocked,None,1,0,1,1,Low,0,30.137299,78.671692,6.71,3.95,10.63,1460,P3
UKD-004214,Flood,Waterlogging,3,0,0,0,0,1,1.18,27.57,Open,None,0,1,1,0,None,0,29.861941,78.111631,1.39,2.76,2.53,1068,P3
UKD-000234,Earthquake,Injured Person,72,48,9,1,12,6,0.18,2.89,Blocked,Severe,0,0,1,1,Critical,1,28.973859,79.590732,6.56,1.61,0.52,564,P1
UKD-000554,Flood,Flooded Road,37,10,0,2,12,4,2.65,63.77,Partially Blocked,Minor,0,0,1,0,None,0,30.071795,78.19918,6.15,2.82,13.95,1384,P1
UKD-005315,Landslide,Infrastructure Damage,50,33,1,3,13,5,0.73,14.73,Blocked,Minor,0,0,0,1,Critical,1,29.536566,80.217768,10.75,15.6,9.95,117,P3
UKD-000545,Earthquake,Damaged House,25,9,3,3,5,4,0.12,1.74,Blocked,Severe,1,1,0,0,None,0,30.451158,79.287072,17.89,1.7,6.41,158,P1
UKD-003701,Flood,Missing Person,85,23,0,7,12,4,2.73,52.88,Partially Blocked,Minor,1,1,0,1,Moderate,1,29.710442,80.332918,2.38,18.18,8.8,125,P2
UKD-003541,Flood,Flooded Road,83,8,2,3,10,6,3.37,44.53,Partially Blocked,Minor,1,1,1,1,Critical,1,29.634454,79.701143,5.08,5.14,4.66,558,P2
UKD-002789,Flood,Waterlogging,6,0,0,1,1,1,2.13,33.4,Open,None,1,1,1,0,None,0,30.284106,77.924889,3.46,2.77,3.16,617,P2
UKD-002865,Cloudburst,Injured Person,15,5,3,0,4,2,1.35,25.54,Blocked,Severe,1,1,1,1,Low,0,29.902499,78.16819,7.5,4.31,3.08,610,P2
UKD-002084,Flood,Missing Person,18,2,1,4,4,0,1.59,38.05,Open,Severe,1,0,0,1,Moderate,1,30.34432,78.097723,5.75,3.03,7.67,972,P2
UKD-005543,Flood,Trapped People,36,8,0,1,6,6,1.41,36.99,Open,None,1,1,1,1,Low,0,29.88934,78.194146,3.31,2.38,4.55,3837,P3
UKD-000309,Earthquake,Missing Person,73,33,3,8,7,3,0.12,2.77,Partially Blocked,Severe,0,0,1,1,Moderate,1,30.020378,78.196329,0.61,3.12,11.09,3149,P1
UKD-000711,Flood,Flooded Road,48,13,6,3,7,8,4.08,82.4,Blocked,Severe,0,1,0,1,Critical,1,28.885488,79.479085,4.08,2.7,0.56,519,P1
UKD-004104,Flood,Trapped People,5,2,0,0,0,2,0.36,12.82,Open,Moderate,1,1,1,0,None,0,29.046333,79.595113,0.51,2.12,4.38,1356,P3
UKD-001581,Flood,Damaged House,200,41,2,2,5,7,4.06,55.44,Blocked,Severe,1,0,1,1,Low,0,30.889103,78.496469,12.08,8.77,8.31,283,P1
UKD-001311,Earthquake,Evacuation Request,42,15,3,2,6,3,0.12,2.92,Partially Blocked,None,1,1,1,1,Critical,1,30.377308,78.578515,20.23,8.45,15.5,268,P1
UKD-000626,Cloudburst,Trapped People,61,52,1,5,9,4,2.68,48.15,Blocked,Moderate,0,0,0,0,None,0,30.354254,77.942667,8.01,3.29,15.52,788,P1
UKD-000024,Earthquake,Infrastructure Damage,193,64,1,0,20,4,0.11,2.42,Blocked,Minor,0,0,1,1,Low,1,29.430791,79.410648,14.68,10.6,17.65,1235,P1
UKD-002532,Landslide,Infrastructure Damage,94,47,3,3,10,8,0.99,19.71,Partially Blocked,Moderate,0,0,0,1,Critical,1,29.461797,79.438509,5.97,3.53,16.1,100,P2
UKD-001871,Flood,Damaged House,14,4,0,0,4,2,1.91,38.52,Open,Moderate,1,0,0,1,Moderate,1,29.895339,78.051001,2.0,3.54,2.23,2362,P1
UKD-005111,Cloudburst,Evacuation Request,14,0,0,1,0,3,0.62,11.73,Open,None,1,1,1,0,None,0,30.328582,78.003896,3.14,6.26,2.92,861,P3
UKD-003489,Landslide,Trapped People,115,48,2,0,16,0,0.48,7.91,Partially Blocked,Minor,1,1,1,1,Low,0,29.830821,78.03518,6.63,8.32,3.5,3008,P2
